[208.67.222.222 208.67.220.220]
[1.1.1.1 1.0.0.1]
[8.8.8.8 8.8.4.4][2 ]
[178.22.122.100 185.51.200.2]
[178.22.122.101 185.51.200.1]
[78.157.42.100 78.157.42.10]
[185.55.226.26 185.55.225.25]
[204.106.240.53 203.126.118.38]
[203.141.131.66 220.110.210.114]
[81.138.71.238 108.179.34.214]
[210.118.170.15 222.122.43.43]
[10.202.10.10 10.202.10.11]
[10.202.10.102 10.202.10.202]
[198.101.242.72 23.253.163.53]
[94.140.14.140 94.140.14.141]
[45.77.165.194 104.238.135.143]
[216.87.84.211 69.164.196.21]
[80.10.246.2 80.10.246.129]
[87.228.47.200 87.228.47.201]
[31.192.108.180 176.99.11.77]
[45.90.33.120 ]
[176.99.11.77 80.78.247.254]
[196.11.99.77]
